System,EventData,Message,TimeCreated,Channel,EventRecordID,EventID,OSPath
"{""Provider"":{""Name"":""Microsoft-Windows-Security-Auditing"",""Guid"":""54849625-5478-4994-A5BA-3E3B0328C30D""},""EventID"":{""Value"":4672},""Version"":0,""Level"":0,""Task"":12548,""Opcode"":0,""Keywords"":9232379236109516800,""TimeCreated"":{""SystemTime"":1768622591.44184},""EventRecordID"":382146,""Correlation"":{""ActivityID"":""A5D391A9-855E-0006-9098-D3A55E85DC01""},""Execution"":{""ProcessID"":1316,""ThreadID"":432},""Channel"":""Security"",""Computer"":""HP"",""Security"":{}}","{""SubjectUserSid"":""S-1-5-18"",""SubjectUserName"":""SYSTEM"",""SubjectDomainName"":""NT AUTHORITY"",""SubjectLogonId"":999,""PrivilegeList"":""SeAssignPrimaryTokenPrivilege\r\n\t\t\tSeTcbPrivilege\r\n\t\t\tSeSecurityPrivilege\r\n\t\t\tSeTakeOwnershipPrivilege\r\n\t\t\tSeLoadDriverPrivilege\r\n\t\t\tSeBackupPrivilege\r\n\t\t\tSeRestorePrivilege\r\n\t\t\tSeDebugPrivilege\r\n\t\t\tSeAuditPrivilege\r\n\t\t\tSeSystemEnvironmentPrivilege\r\n\t\t\tSeImpersonatePrivilege\r\n\t\t\tSeDelegateSessionUserImpersonatePrivilege""}","Special privileges assigned to new logon.

Subject:
	Security ID:		S-1-5-18
	Account Name:		SYSTEM
	Account Domain:		NT AUTHORITY
	Logon ID:		999

Privileges:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege
",2026-01-17T04:03:11Z,Security,382146,4672,C:\Windows\System32\winevt\Logs\Security.evtx
"{""Provider"":{""Name"":""Microsoft-Windows-Security-Auditing"",""Guid"":""54849625-5478-4994-A5BA-3E3B0328C30D""},""EventID"":{""Value"":4672},""Version"":0,""Level"":0,""Task"":12548,""Opcode"":0,""Keywords"":9232379236109516800,""TimeCreated"":{""SystemTime"":1768622592.0948272},""EventRecordID"":382150,""Correlation"":{""ActivityID"":""A5D391A9-855E-0006-9098-D3A55E85DC01""},""Execution"":{""ProcessID"":1316,""ThreadID"":5952},""Channel"":""Security"",""Computer"":""HP"",""Security"":{}}","{""SubjectUserSid"":""S-1-5-18"",""SubjectUserName"":""SYSTEM"",""SubjectDomainName"":""NT AUTHORITY"",""SubjectLogonId"":999,""PrivilegeList"":""SeAssignPrimaryTokenPrivilege\r\n\t\t\tSeTcbPrivilege\r\n\t\t\tSeSecurityPrivilege\r\n\t\t\tSeTakeOwnershipPrivilege\r\n\t\t\tSeLoadDriverPrivilege\r\n\t\t\tSeBackupPrivilege\r\n\t\t\tSeRestorePrivilege\r\n\t\t\tSeDebugPrivilege\r\n\t\t\tSeAuditPrivilege\r\n\t\t\tSeSystemEnvironmentPrivilege\r\n\t\t\tSeImpersonatePrivilege\r\n\t\t\tSeDelegateSessionUserImpersonatePrivilege""}","Special privileges assigned to new logon.

Subject:
	Security ID:		S-1-5-18
	Account Name:		SYSTEM
	Account Domain:		NT AUTHORITY
	Logon ID:		999

Privileges:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege
",2026-01-17T04:03:12Z,Security,382150,4672,C:\Windows\System32\winevt\Logs\Security.evtx
"{""Provider"":{""Name"":""Microsoft-Windows-Security-Auditing"",""Guid"":""54849625-5478-4994-A5BA-3E3B0328C30D""},""EventID"":{""Value"":4672},""Version"":0,""Level"":0,""Task"":12548,""Opcode"":0,""Keywords"":9232379236109516800,""TimeCreated"":{""SystemTime"":1768622592.8623648},""EventRecordID"":382152,""Correlation"":{""ActivityID"":""A5D391A9-855E-0006-9098-D3A55E85DC01""},""Execution"":{""ProcessID"":1316,""ThreadID"":5952},""Channel"":""Security"",""Computer"":""HP"",""Security"":{}}","{""SubjectUserSid"":""S-1-5-18"",""SubjectUserName"":""SYSTEM"",""SubjectDomainName"":""NT AUTHORITY"",""SubjectLogonId"":999,""PrivilegeList"":""SeAssignPrimaryTokenPrivilege\r\n\t\t\tSeTcbPrivilege\r\n\t\t\tSeSecurityPrivilege\r\n\t\t\tSeTakeOwnershipPrivilege\r\n\t\t\tSeLoadDriverPrivilege\r\n\t\t\tSeBackupPrivilege\r\n\t\t\tSeRestorePrivilege\r\n\t\t\tSeDebugPrivilege\r\n\t\t\tSeAuditPrivilege\r\n\t\t\tSeSystemEnvironmentPrivilege\r\n\t\t\tSeImpersonatePrivilege\r\n\t\t\tSeDelegateSessionUserImpersonatePrivilege""}","Special privileges assigned to new logon.

Subject:
	Security ID:		S-1-5-18
	Account Name:		SYSTEM
	Account Domain:		NT AUTHORITY
	Logon ID:		999

Privileges:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege
",2026-01-17T04:03:12Z,Security,382152,4672,C:\Windows\System32\winevt\Logs\Security.evtx
"{""Provider"":{""Name"":""Microsoft-Windows-Security-Auditing"",""Guid"":""54849625-5478-4994-A5BA-3E3B0328C30D""},""EventID"":{""Value"":4672},""Version"":0,""Level"":0,""Task"":12548,""Opcode"":0,""Keywords"":9232379236109516800,""TimeCreated"":{""SystemTime"":1768622598.3376017},""EventRecordID"":382174,""Correlation"":{""ActivityID"":""A5D391A9-855E-0006-9098-D3A55E85DC01""},""Execution"":{""ProcessID"":1316,""ThreadID"":432},""Channel"":""Security"",""Computer"":""HP"",""Security"":{}}","{""SubjectUserSid"":""S-1-5-18"",""SubjectUserName"":""SYSTEM"",""SubjectDomainName"":""NT AUTHORITY"",""SubjectLogonId"":999,""PrivilegeList"":""SeAssignPrimaryTokenPrivilege\r\n\t\t\tSeTcbPrivilege\r\n\t\t\tSeSecurityPrivilege\r\n\t\t\tSeTakeOwnershipPrivilege\r\n\t\t\tSeLoadDriverPrivilege\r\n\t\t\tSeBackupPrivilege\r\n\t\t\tSeRestorePrivilege\r\n\t\t\tSeDebugPrivilege\r\n\t\t\tSeAuditPrivilege\r\n\t\t\tSeSystemEnvironmentPrivilege\r\n\t\t\tSeImpersonatePrivilege\r\n\t\t\tSeDelegateSessionUserImpersonatePrivilege""}","Special privileges assigned to new logon.

Subject:
	Security ID:		S-1-5-18
	Account Name:		SYSTEM
	Account Domain:		NT AUTHORITY
	Logon ID:		999

Privileges:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege
",2026-01-17T04:03:18Z,Security,382174,4672,C:\Windows\System32\winevt\Logs\Security.evtx
"{""Provider"":{""Name"":""Microsoft-Windows-Security-Auditing"",""Guid"":""54849625-5478-4994-A5BA-3E3B0328C30D""},""EventID"":{""Value"":4672},""Version"":0,""Level"":0,""Task"":12548,""Opcode"":0,""Keywords"":9232379236109516800,""TimeCreated"":{""SystemTime"":1768622740.7778096},""EventRecordID"":382510,""Correlation"":{""ActivityID"":""A5D391A9-855E-0006-9098-D3A55E85DC01""},""Execution"":{""ProcessID"":1316,""ThreadID"":432},""Channel"":""Security"",""Computer"":""HP"",""Security"":{}}","{""SubjectUserSid"":""S-1-5-18"",""SubjectUserName"":""SYSTEM"",""SubjectDomainName"":""NT AUTHORITY"",""SubjectLogonId"":999,""PrivilegeList"":""SeAssignPrimaryTokenPrivilege\r\n\t\t\tSeTcbPrivilege\r\n\t\t\tSeSecurityPrivilege\r\n\t\t\tSeTakeOwnershipPrivilege\r\n\t\t\tSeLoadDriverPrivilege\r\n\t\t\tSeBackupPrivilege\r\n\t\t\tSeRestorePrivilege\r\n\t\t\tSeDebugPrivilege\r\n\t\t\tSeAuditPrivilege\r\n\t\t\tSeSystemEnvironmentPrivilege\r\n\t\t\tSeImpersonatePrivilege\r\n\t\t\tSeDelegateSessionUserImpersonatePrivilege""}","Special privileges assigned to new logon.

Subject:
	Security ID:		S-1-5-18
	Account Name:		SYSTEM
	Account Domain:		NT AUTHORITY
	Logon ID:		999

Privileges:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege
",2026-01-17T04:05:40Z,Security,382510,4672,C:\Windows\System32\winevt\Logs\Security.evtx
"{""Provider"":{""Name"":""Microsoft-Windows-Security-Auditing"",""Guid"":""54849625-5478-4994-A5BA-3E3B0328C30D""},""EventID"":{""Value"":4672},""Version"":0,""Level"":0,""Task"":12548,""Opcode"":0,""Keywords"":9232379236109516800,""TimeCreated"":{""SystemTime"":1768623050.8220143},""EventRecordID"":382728,""Correlation"":{""ActivityID"":""A5D391A9-855E-0006-9098-D3A55E85DC01""},""Execution"":{""ProcessID"":1316,""ThreadID"":13180},""Channel"":""Security"",""Computer"":""HP"",""Security"":{}}","{""SubjectUserSid"":""S-1-5-18"",""SubjectUserName"":""SYSTEM"",""SubjectDomainName"":""NT AUTHORITY"",""SubjectLogonId"":999,""PrivilegeList"":""SeAssignPrimaryTokenPrivilege\r\n\t\t\tSeTcbPrivilege\r\n\t\t\tSeSecurityPrivilege\r\n\t\t\tSeTakeOwnershipPrivilege\r\n\t\t\tSeLoadDriverPrivilege\r\n\t\t\tSeBackupPrivilege\r\n\t\t\tSeRestorePrivilege\r\n\t\t\tSeDebugPrivilege\r\n\t\t\tSeAuditPrivilege\r\n\t\t\tSeSystemEnvironmentPrivilege\r\n\t\t\tSeImpersonatePrivilege\r\n\t\t\tSeDelegateSessionUserImpersonatePrivilege""}","Special privileges assigned to new logon.

Subject:
	Security ID:		S-1-5-18
	Account Name:		SYSTEM
	Account Domain:		NT AUTHORITY
	Logon ID:		999

Privileges:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege
",2026-01-17T04:10:50Z,Security,382728,4672,C:\Windows\System32\winevt\Logs\Security.evtx
"{""Provider"":{""Name"":""Microsoft-Windows-Security-Auditing"",""Guid"":""54849625-5478-4994-A5BA-3E3B0328C30D""},""EventID"":{""Value"":4672},""Version"":0,""Level"":0,""Task"":12548,""Opcode"":0,""Keywords"":9232379236109516800,""TimeCreated"":{""SystemTime"":1768623190.6743407},""EventRecordID"":382804,""Correlation"":{""ActivityID"":""A5D391A9-855E-0006-9098-D3A55E85DC01""},""Execution"":{""ProcessID"":1316,""ThreadID"":13180},""Channel"":""Security"",""Computer"":""HP"",""Security"":{}}","{""SubjectUserSid"":""S-1-5-18"",""SubjectUserName"":""SYSTEM"",""SubjectDomainName"":""NT AUTHORITY"",""SubjectLogonId"":999,""PrivilegeList"":""SeAssignPrimaryTokenPrivilege\r\n\t\t\tSeTcbPrivilege\r\n\t\t\tSeSecurityPrivilege\r\n\t\t\tSeTakeOwnershipPrivilege\r\n\t\t\tSeLoadDriverPrivilege\r\n\t\t\tSeBackupPrivilege\r\n\t\t\tSeRestorePrivilege\r\n\t\t\tSeDebugPrivilege\r\n\t\t\tSeAuditPrivilege\r\n\t\t\tSeSystemEnvironmentPrivilege\r\n\t\t\tSeImpersonatePrivilege\r\n\t\t\tSeDelegateSessionUserImpersonatePrivilege""}","Special privileges assigned to new logon.

Subject:
	Security ID:		S-1-5-18
	Account Name:		SYSTEM
	Account Domain:		NT AUTHORITY
	Logon ID:		999

Privileges:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege
",2026-01-17T04:13:10Z,Security,382804,4672,C:\Windows\System32\winevt\Logs\Security.evtx
"{""Provider"":{""Name"":""Microsoft-Windows-Security-Auditing"",""Guid"":""54849625-5478-4994-A5BA-3E3B0328C30D""},""EventID"":{""Value"":4672},""Version"":0,""Level"":0,""Task"":12548,""Opcode"":0,""Keywords"":9232379236109516800,""TimeCreated"":{""SystemTime"":1768623199.1498897},""EventRecordID"":382842,""Correlation"":{""ActivityID"":""A5D391A9-855E-0006-9098-D3A55E85DC01""},""Execution"":{""ProcessID"":1316,""ThreadID"":432},""Channel"":""Security"",""Computer"":""HP"",""Security"":{}}","{""SubjectUserSid"":""S-1-5-18"",""SubjectUserName"":""SYSTEM"",""SubjectDomainName"":""NT AUTHORITY"",""SubjectLogonId"":999,""PrivilegeList"":""SeAssignPrimaryTokenPrivilege\r\n\t\t\tSeTcbPrivilege\r\n\t\t\tSeSecurityPrivilege\r\n\t\t\tSeTakeOwnershipPrivilege\r\n\t\t\tSeLoadDriverPrivilege\r\n\t\t\tSeBackupPrivilege\r\n\t\t\tSeRestorePrivilege\r\n\t\t\tSeDebugPrivilege\r\n\t\t\tSeAuditPrivilege\r\n\t\t\tSeSystemEnvironmentPrivilege\r\n\t\t\tSeImpersonatePrivilege\r\n\t\t\tSeDelegateSessionUserImpersonatePrivilege""}","Special privileges assigned to new logon.

Subject:
	Security ID:		S-1-5-18
	Account Name:		SYSTEM
	Account Domain:		NT AUTHORITY
	Logon ID:		999

Privileges:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege
",2026-01-17T04:13:19Z,Security,382842,4672,C:\Windows\System32\winevt\Logs\Security.evtx
"{""Provider"":{""Name"":""Microsoft-Windows-Security-Auditing"",""Guid"":""54849625-5478-4994-A5BA-3E3B0328C30D""},""EventID"":{""Value"":4672},""Version"":0,""Level"":0,""Task"":12548,""Opcode"":0,""Keywords"":9232379236109516800,""TimeCreated"":{""SystemTime"":1768623422.8708017},""EventRecordID"":383004,""Correlation"":{""ActivityID"":""A5D391A9-855E-0006-9098-D3A55E85DC01""},""Execution"":{""ProcessID"":1316,""ThreadID"":432},""Channel"":""Security"",""Computer"":""HP"",""Security"":{}}","{""SubjectUserSid"":""S-1-5-18"",""SubjectUserName"":""SYSTEM"",""SubjectDomainName"":""NT AUTHORITY"",""SubjectLogonId"":999,""PrivilegeList"":""SeAssignPrimaryTokenPrivilege\r\n\t\t\tSeTcbPrivilege\r\n\t\t\tSeSecurityPrivilege\r\n\t\t\tSeTakeOwnershipPrivilege\r\n\t\t\tSeLoadDriverPrivilege\r\n\t\t\tSeBackupPrivilege\r\n\t\t\tSeRestorePrivilege\r\n\t\t\tSeDebugPrivilege\r\n\t\t\tSeAuditPrivilege\r\n\t\t\tSeSystemEnvironmentPrivilege\r\n\t\t\tSeImpersonatePrivilege\r\n\t\t\tSeDelegateSessionUserImpersonatePrivilege""}","Special privileges assigned to new logon.

Subject:
	Security ID:		S-1-5-18
	Account Name:		SYSTEM
	Account Domain:		NT AUTHORITY
	Logon ID:		999

Privileges:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege
",2026-01-17T04:17:02Z,Security,383004,4672,C:\Windows\System32\winevt\Logs\Security.evtx
"{""Provider"":{""Name"":""Microsoft-Windows-Security-Auditing"",""Guid"":""54849625-5478-4994-A5BA-3E3B0328C30D""},""EventID"":{""Value"":4672},""Version"":0,""Level"":0,""Task"":12548,""Opcode"":0,""Keywords"":9232379236109516800,""TimeCreated"":{""SystemTime"":1768623440.0287583},""EventRecordID"":383007,""Correlation"":{""ActivityID"":""A5D391A9-855E-0006-9098-D3A55E85DC01""},""Execution"":{""ProcessID"":1316,""ThreadID"":5952},""Channel"":""Security"",""Computer"":""HP"",""Security"":{}}","{""SubjectUserSid"":""S-1-5-18"",""SubjectUserName"":""SYSTEM"",""SubjectDomainName"":""NT AUTHORITY"",""SubjectLogonId"":999,""PrivilegeList"":""SeAssignPrimaryTokenPrivilege\r\n\t\t\tSeTcbPrivilege\r\n\t\t\tSeSecurityPrivilege\r\n\t\t\tSeTakeOwnershipPrivilege\r\n\t\t\tSeLoadDriverPrivilege\r\n\t\t\tSeBackupPrivilege\r\n\t\t\tSeRestorePrivilege\r\n\t\t\tSeDebugPrivilege\r\n\t\t\tSeAuditPrivilege\r\n\t\t\tSeSystemEnvironmentPrivilege\r\n\t\t\tSeImpersonatePrivilege\r\n\t\t\tSeDelegateSessionUserImpersonatePrivilege""}","Special privileges assigned to new logon.

Subject:
	Security ID:		S-1-5-18
	Account Name:		SYSTEM
	Account Domain:		NT AUTHORITY
	Logon ID:		999

Privileges:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege
",2026-01-17T04:17:20Z,Security,383007,4672,C:\Windows\System32\winevt\Logs\Security.evtx
